title,n_enrolled,course_type,institution,instructors,Level,subject,language,course_length_weeks,  price  ,Average_Course_effort_per_week
Thermodynamics of Materials,0,Self-paced on your time,Massachusetts Institute of Technology,Rafael Jaramillo-Jessica Sandland-John Harrold,Intermediate,Engineering,English,16,  £150.00  ,10.5
Theory of Change for Development,10736,Self-paced on your time,Wits University,Caitlin Blaser Mapitsa-Takunda Chirau,Introductory,Social Sciences,English,7,  £199.00  ,3.5
Theories of Media and Technology,0,Instructor-led on a course schedule,New York University,Scott Fitzgerald,Introductory,Art & Culture,English,14,  £249.00  ,9
The Threat of Nuclear Terrorism,0,Self-paced on your time,Stanford University,William Perry,Introductory,History,English,5,  £50.00  ,3
The Supreme Court & American Politics,6216,Self-paced on your time,University of Baltimore-University System of Maryland,Lyle Denniston,Introductory,Law,English,8,  £29.00  ,5.5
The Science of Parenting,37538,Self-paced on your time,"The University of California, San Diego",David Barner,Introductory,Social Sciences,English,5,  £49.00  ,4
The Science of Happiness,475614,Self-paced on your time,"University of California, Berkeley",Dacher Keltner-Emiliana Simon-Thomas,Introductory,Social Sciences,English,11,  £169.00  ,4.5
The Science of Everyday Thinking,318399,Self-paced on your time,The University of Queensland,Emma MacKenzie-Jason Tangen-Matthew Thompson,Introductory,Business & Management,English,12,  £99.00  ,2.5
The Science of Beer,39085,Self-paced on your time,Wageningen University & Research,Sander Breevaart-Florence Scherer-Nico van der Veen-Esther Kunst,Introductory,Food & Nutrition,English,6,  £49.00  ,3
The Science and Business of Biotechnology,17039,Self-paced on your time,Massachusetts Institute of Technology,Andrew W. Lo-Harvey F. Lodish-Zied Ben Chaouch,Intermediate,Business & Management,English,16,  £49.00  ,11
The Rise of Superheroes and Their Impact On Pop Culture,31368,Self-paced on your time,The Smithsonian Institution,Stan Lee-Michael Uslan-David Uslan-Christopher Robichaud,Introductory,Humanities,English,6,  £50.00  ,1.5
The Quantum Internet and Quantum Computers: How¬†Will They Change the World?,15014,Self-paced on your time,Delft University of Technology,Stephanie Wehner-Lieven Vandersypen-Menno Veldhorst,Introductory,Science,English,6,  £50.00  ,2.5
The Psychology of Criminal Justice,110086,Self-paced on your time,The University of Queensland,Blake McKimmie-Mark Horswill-Barbara Masser,Introductory,Humanities,English,8,  £99.00  ,1.5
The Power of Data,0,Self-paced on your time,Rolls-Royce,James Hallam,Introductory,Data Analysis & Statistics,English,2,  £49.00  ,3
